##############################################################################
                            PAGE RANK ALGORITHM                               
##############################################################################

This program computes the Page Rank of a network of airports and flights
Page Rank algorithm uses the following parameters:
	 - MAX_ITERATIONS = 100
	 - DAMPING_FACTOR = 0.85
	 - EPSILON = 1e-05

##############################################################################

Reading Airport file from airports.txt
There were 5740 airports with a valid IATA code
There were 1923 airports with an invalid IATA code

Reading Routes file from routes.txt
There were 68292 valid routes
There were 528 invalid routes

##############################################################################

Results:
Rank	IATA	PageRank	Name
 343	IND 	0.00035795	Indianapolis Intl, United States
 344	PEN 	0.00035703	Penang Intl, Malaysia
 345	CMH 	0.00035057	Port Columbus Intl, United States
 346	HFE 	0.00035038	Luogang, China
 347	KHV 	0.00034947	Novy, Russia
 348	YQT 	0.00034912	Thunder Bay, Canada
 349	COK 	0.00034906	Cochin, India
 350	DLA 	0.00034752	Douala, Cameroon
 351	TRD 	0.00034709	Vaernes, Norway
 352	KJA 	0.00034688	Emelyanovo, Russia
 353	FOR 	0.00034601	Pinto Martins Intl, Brazil
 354	YYR 	0.00034286	Goose Bay, Canada
 355	RAK 	0.00034225	Menara, Morocco
 356	RSW 	0.00034162	Southwest Florida Intl, United States
 357	SUV 	0.00034156	Nausori Intl, Fiji
 358	RAR 	0.00034087	Rarotonga Intl, Cook Islands
 359	ABQ 	0.00033952	Albuquerque International Sunport, United States
 360	SAH 	0.00033690	Sanaa Intl, Yemen
 361	BOD 	0.00033563	Merignac, France
 362	MRU 	0.00033557	Sir Seewoosagur Ramgoolam Intl, Mauritius
 363	CGQ 	0.00033480	Changchun, China
 364	TOS 	0.00033438	Langnes, Norway
 365	CAG 	0.00033412	Elmas, Italy
 366	LHE 	0.00033248	Allama Iqbal Intl, Pakistan
 367	PMO 	0.00033224	Palermo, Italy
 368	SON 	0.00033168	Santo Pekoa International Airport, Vanuatu
 369	LPL 	0.00033030	Liverpool, United Kingdom
 370	TSV 	0.00033018	Townsville, Australia
 371	DUT 	0.00032982	Unalaska, United States
 372	AUA 	0.00032963	Reina Beatrix Intl, Aruba
 373	MSQ 	0.00032837	Minsk 2, Belarus
 374	AZA 	0.00032822	Phoenix-Mesa Gateway, United States
 375	YEV 	0.00032812	Inuvik Mike Zubko, Canada
 376	SOF 	0.00032687	Sofia, Bulgaria
 377	CUR 	0.00032634	Hato, Netherlands Antilles
 378	VVI 	0.00032524	Viru Viru Intl, Bolivia
 379	GOH 	0.00032518	Nuuk, Greenland
 380	LIN 	0.00032408	Linate, Italy
 381	CLO 	0.00032357	Alfonso Bonilla Aragon Intl, Colombia
 382	INC 	0.00032300	Yinchuan, China
 383	EIN 	0.00031856	Eindhoven, Netherlands
 384	DLM 	0.00031761	Dalaman, Turkey
 385	TIJ 	0.00031683	General Abelardo L Rodriguez Intl, Mexico
 386	SJW 	0.00031426	Shijiazhuang Daguocun International Airport, China
 387	NGB 	0.00031216	Lishe, China
 388	BOJ 	0.00031090	Burgas, Bulgaria
 389	VNO 	0.00031063	Vilnius Intl, Lithuania
 390	VVO 	0.00030961	Knevichi, Russia
 391	SYQ 	0.00030748	Tobias Bolanos International Airport, Costa Rica
 392	TLL 	0.00030717	Tallinn, Estonia
 393	SNA 	0.00030670	John Wayne Arpt Orange Co, United States
 394	OOL 	0.00030611	Gold Coast, Australia
 395	YVP 	0.00030497	Kuujjuaq, Canada
 396	SJD 	0.00030195	Los Cabos Intl, Mexico
 397	FNC 	0.00030044	Madeira, Portugal
 398	IKA 	0.00030022	Imam Khomeini, Iran
 399	BVA 	0.00029983	Tille, France
 400	GMP 	0.00029793	Gimpo, South Korea
 401	KHH 	0.00029731	Kaohsiung Intl, Taiwan
 402	GAU 	0.00029711	Lokpriya Gopinath Bordoloi International Airport, India
 403	HHN 	0.00029705	Frankfurt Hahn, Germany
 404	BOO 	0.00029596	Bodo, Norway
 405	DAL 	0.00029502	Dallas Love Fld, United States
 406	DAR 	0.00029429	Mwalimu Julius K Nyerere Intl, Tanzania
 407	NRN 	0.00029317	Niederrhein, Germany
 408	KRK 	0.00029243	Balice, Poland
 409	JAV 	0.00029238	Ilulissat, Greenland
 410	SVG 	0.00029224	Sola, Norway
 411	CNX 	0.00029117	Chiang Mai Intl, Thailand
 412	HBE 	0.00029067	Borg El Arab Intl, Egypt
 413	NAY 	0.00029049	Beijing Nanyuan Airport, China
 414	MLE 	0.00028981	Male Intl, Maldives
 415	GUM 	0.00028909	Guam Intl, Guam
 416	YRL 	0.00028769	Red Lake Airport, Canada
 417	KCH 	0.00028737	Kuching Intl, Malaysia
 418	IFN 	0.00028671	Esfahan Shahid Beheshti Intl, Iran
 419	YNT 	0.00028612	Laishan, China
 420	KGL 	0.00028611	Kigali Intl, Rwanda
 421	AAQ 	0.00028546	Vityazevo, Russia
 422	SDQ 	0.00028471	Las Americas Intl, Dominican Republic
 423	IEV 	0.00028406	Zhuliany Intl, Ukraine
 424	YKS 	0.00028193	Yakutsk, Russia
 425	MYR 	0.00027925	Myrtle Beach Intl, United States
 426	AMD 	0.00027838	Ahmedabad, India
 427	PFO 	0.00027811	Pafos Intl, Cyprus
 428	XNN 	0.00027775	Xining Caojiabu Airport, China
 429	COO 	0.00027707	Cadjehoun, Benin
 430	BIL 	0.00027697	Billings Logan International Airport, United States
 431	SVQ 	0.00027653	Sevilla, Spain
 432	LJG 	0.00027647	Lijiang Airport, China
 433	GYN 	0.00027641	Santa Genoveva, Brazil
 434	BRI 	0.00027615	Bari, Italy
 435	EBB 	0.00027499	Entebbe Intl, Uganda
 436	BTH 	0.00027442	Hang Nadim, Indonesia
 437	CIA 	0.00027347	Ciampino, Italy
 438	AWZ 	0.00027326	Ahwaz, Iran
 439	DJJ 	0.00027228	Sentani, Indonesia
 440	ERS 	0.00026965	Eros Airport, Namibia
 441	AJA 	0.00026812	Campo Dell Oro, France
 442	MBJ 	0.00026727	Sangster Intl, Jamaica
 443	ISA 	0.00026648	Mount Isa, Australia
 444	FLN 	0.00026621	Hercilio Luz, Brazil
 445	KOI 	0.00026598	Kirkwall, United Kingdom
 446	UNK 	0.00026594	Unalakleet Airport, United States
 447	JER 	0.00026581	Jersey, Jersey
 448	GOT 	0.00026572	Landvetter, Sweden
 449	ANU 	0.00026564	V C Bird Intl, Antigua and Barbuda
 450	BFS 	0.00026553	Belfast Intl, United Kingdom
 451	HRE 	0.00026538	Harare Intl, Zimbabwe
 452	FRU 	0.00026450	Manas, Kyrgyzstan
 453	EVN 	0.00026427	Zvartnots, Armenia
 454	JAX 	0.00026178	Jacksonville Intl, United States
 455	MDE 	0.00026105	Jose Maria Cordova, Colombia
 456	OUA 	0.00025960	Ouagadougou, Burkina Faso
 457	MED 	0.00025935	Prince Mohammad Bin Abdulaziz, Saudi Arabia
 458	NUE 	0.00025850	Nurnberg, Germany
 459	GDN 	0.00025838	Lech Walesa, Poland
 460	ABZ 	0.00025784	Dyce, United Kingdom
 461	CHQ 	0.00025637	Souda, Greece
 462	BND 	0.00025480	Bandar Abbass Intl, Iran
 463	EOH 	0.00025464	Olaya Herrera, Colombia
 464	SOU 	0.00025440	Southampton, United Kingdom
 465	SFJ 	0.00025414	Sondre Stromfjord, Greenland
